a52dec 0.7.4-11
cups-pk-helper 0.2.6-4
curl 7.78.0-1
cython 0.29.24-1
darkhttpd 1.13-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
dconf-editor 3.38.3-1
ddrescue 1.25-1
deepin-camera 1.1.3-1
deepin-desktop-base 2:2021.06.16-1
deepin-qt-dbus-factory 5.4.17-1
deepin-qt5integration 5.5.8-1
deepin-qt5platform-plugins 5.0.40-1
deepin-wayland 1.0.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dex 0.9.0-1
dhclient 4.4.2.P1-1
dialog 1:1.3_20210621-1
diffutils 3.8-1
ding-libs 0.6.1-3
discount 2.2.7-1
discover 5.22.5-1
disper 0.3.1.1-1
djvulibre 3.5.28-3
dkms 2.8.6-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 21.08.1-1
dolphin-plugins 21.08.1-1
dosfstools 4.2-1
double-conversion 3.1.5-2
downgrade 10.1.0-1
dpkg 1.20.9-1
drbl 2.30.5-1
drkonqi 5.22.5-1
dtkcommon 5.5.17-1
dtkcore 1:5.5.17.1-1
dtkgui 5.5.17.1-2
dtkwidget 5.5.17.1-1
duf-bin 0.6.2-2
dunst 1.6.1-2
e2fsprogs 1.46.4-1
easyeffects 6.1.0-1
ebook-tools 0.2.2-7
ecryptfs-utils 111-4
edid-decode-git r544.4fdf6f2-1
editorconfig-core-c 0.12.5-1
edk2-shell 202105-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1.1.7-1
eglexternalplatform 1.1-2
electron12 12.1.0-1
elfutils 0.185-1
encfs 1.9.5-5
enchant 2.3.1-1
ethtool 1:5.13-1
exempi 2.5.2-1
exfatprogs 1.1.2-1
exiv2 0.27.4-2
exo 4.16.2-1
expac 10-4
expat 2.4.1-1
f2fs-tools 1.14.0-3
faac 1.30-2
faad2 2.10.0-1
faba-icon-theme-git 329.6d7ebd2-1
faba-mono-icons-git 106.2006c52-1
fakeroot 1.25.3-2
fatresize 1.1.0-1
feh 3.7.1-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
ffmpegthumbs 21.08.1-1
fftw 3.3.9-1
file 5.40-5
file-roller 3.40.0-1
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 91.0.2-1
flac 1.3.3-3
flake8 1:3.9.2-2
flameshot 0.10.1-1
flatpak 1.11.3-1
flex 2.6.4-3
fluidsynth 2.2.2-1
fmt 8.0.1-1
font-manager-git 0.8.7.r7.g6bad76f-1
fontconfig 2:2.13.94-1
frameworkintegration 5.85.0-1
freeglut 3.2.1-2
freetype2 2.11.0-3
fribidi 1.0.10-1
fsarchiver 0.8.6-1
fuse-common 3.10.4-1
fuse2 2.9.9-4
fuse3 3.10.4-1
