a52dec 0.7.4-11
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.25-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-9
libxmu 1.1.3-2
libxnvctrl 470.63.01-1
libxpm 3.5.13-2
libxpresent 1.0.0-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzip 1.7.3-2
licenses 20200427-1
light 1.2.2-2
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lightdm-gtk-greeter-settings 1.2.2-6
lilv 0.24.12-1
linux 5.13.13.arch1-1
linux-api-headers 5.12.3-1
linux-atm 2.5.2-7
linux-firmware 20210818.c46b8c3-1
linux-headers 5.13.13.arch1-1
linux-lts 5.10.62-1
linux-lts-headers 5.10.62-1
linux-zen 5.13.13.zen1-1
linux-zen-headers 5.13.13.zen1-1
llvm-libs 12.0.1-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.18.1-1
lrzip 0.641-1
lsb-release 1.4-18
lsd 0.20.1-1
lshw B.02.19.2-2
lsp-plugins 1.1.30-1
lsscsi 0.32-1
lua 5.4.3-1
lua51 5.1.5-9
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-3
lvm2 2.03.13-1
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxmenu-data 0.1.5-3
lxrandr 0.3.2-2
lz4 1:1.9.3-2
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-1
make 4.3-3
maltego 4.2.19.13940-1
man-db 2.9.4-2
man-pages 5.13-1
mate-desktop 1.26.0-1
materia-gtk-theme 20210322-2
materia-kde 20210722-1
mathjax2 2.7.9-1
mc 4.8.27-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
memtest86+ 5.31b-1
menu-cache 1.1.0-2
mesa 21.2.1-1
mesa-demos 8.4.0-4
meson 0.59.1-1
milou 5.22.5-1
minizip 1:1.2.11-4
mintstick-git r218.0f72349-1
mjpegtools 2.2.0-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modemmanager 1.16.10-1
modemmanager-qt 5.85.0-1
moka-icon-theme-git 5.4.0-1
mokutil 0.4.0.r3.g19e8c90-1
mono 6.12.0.122-1
mpd 0.22.11-1
mpfr 4.1.0.p13-1
mpg123 1.29.0-1
mpv 1:0.33.1-2
mtdev 1.1.6-1
mtools 1:4.0.35-1
mtpfs 1.1-4
mujs 1.1.3-1
nano 5.8-1
nbd 3.21-2
nbfc 1.6.3-3
ncurses 6.2-2
ndctl 71.1-1
ndisc6 1.0.4-2
neofetch 7.1.0-2
neon 0.31.2-1
neovim-nightly-bin 0.6.0+dev+218+g3f526feeb-1
nerd-fonts-hack 2.1.0-3
nerd-fonts-mononoki 2.1.0-2
nerd-fonts-ubuntu-mono 2.1.0-2
net-tools 2.10-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.14-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-qt 5.85.0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
nfsidmap 2.5.4-1
nilfs-utils 2.2.8-2
ninja 1.10.2-1
nitrogen 1.6.1-3
nm-connection-editor 1.24.0-1
noto-fonts 20201226-2
noto-fonts-emoji 20210625-1
npth 1.6-3
nspr 4.32-1
nss 3.69.1-1
nss-mdns 0.15.1-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numix-circle-arc-icons-git 20.1-1
numix-circle-icon-theme-git 21.08.25.r0.gbbd0d8a-1
numix-gtk-theme-git 2.6.7.r55.ad4b345-1
numix-icon-theme-git 21.04.14.r0.g97c01aee9-1
numlockx 1.2-5
nvidia 470.63.01-4
nvidia-dkms 470.63.01-1
nvidia-lts 1:470.63.01-4
nvidia-settings 470.63.01-1
nvidia-utils 470.63.01-1
nvidia-xrun 0.3-0
nvme-cli 1.15-1
oath-toolkit 2.6.7-1
obconf 2.0.4-7
obkey-git 1.0.47.gcf99076-1
obmenu-generator 0.90-2
obmenu3 1.05-2
ocl-icd 2.3.1-1
ocs-url 3.1.0-7
oh-my-zsh-git r6121.190325049-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
okular 21.08.1-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
openbox 3.6.1-7
openbox-arc-git 20210901.r21.5ebdb7f-1
openbox-themes-pambudi-git r29.9f88fb1-1
opencl-mesa 21.2.1-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openexr 3.1.1-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openresolv 3.12.0-1
openssh 8.7p1-1
openssl 1.1.1.l-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.3-1
optimus-manager 1.4-2
optimus-manager-qt 1.6.4-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
ostree 2021.3-1
oxy-neon 0-2
oxygen 5.22.5-1
p11-kit 0.24.0-1
p7zip 1:17.04-1
packagekit 1.2.4-1
packagekit-qt5 1.0.2-1
pacman 6.0.1-1
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pahole 1.22-1
pam 1.5.1-1
pamac-all 10.1.3-5
pambase 20210605-2
pango 1:1.48.9-2
pango-perl 1.227-14
pangomm 2.46.1-2
pangomm-2.48 2.48.1-2
paper-icon-theme 1.5.0-2
papirus-icon-theme 20210901-1
partclone 0.3.17-1
parted 3.4-2
partimage 0.6.9-13
partitionmanager 21.08.1-1
paru-bin 1.8.2-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pbzip2 1.1.13-3
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.37-1
pcsclite 1.9.3-1
perl 5.34.0-2
perl-cairo-gobject 1.004-11
perl-checkupdates-aur 0.04-1
perl-clone 0.45-3
perl-data-dump 1.25-1
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-glib-object-introspection 0.047-6
perl-gtk3 0.038-1
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-io-socket-ssl 2.071-1
perl-json 4.03-1
perl-libwww 6.56-1
perl-linux-desktopfiles 0.25-2
perl-lwp-mediatypes 6.02-9
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-net-ssleay 1.90-2
perl-parse-yapp 1.21-4
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-aur 0.22-3
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picom 8.2-1
pigz 2.6-1
pinentry 1.1.1-1
pipewire 1:0.3.34-1
pipewire-media-session 1:0.3.34-1
pixman 0.40.0-1
pixz 1.0.7-2
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
plank 0.11.89-3
plasma-browser-integration 5.22.5-1
plasma-desktop 5.22.5-1
plasma-disks 5.22.5-1
plasma-firewall 5.22.5-1
plasma-framework 5.85.0-2
plasma-integration 5.22.5-1
plasma-nm 5.22.5-1
plasma-pa 5.22.5-1
plasma-sdk 5.22.5-1
plasma-systemmonitor 5.22.5-1
plasma-thunderbolt 5.22.5-1
plasma-vault 5.22.5-1
plasma-workspace 5.22.5-2
plasma-workspace-wallpapers 5.22.5-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-gnome 0.105-8
polkit-kde-agent 5.22.5-1
polkit-qt5 0.114.0-1
polybar 3.5.6-1
poppler 21.09.0-1
poppler-glib 21.09.0-1
poppler-qt5 21.09.0-1
popt 1.18-1
portaudio 1:19.7.0-1
powerdevil 5.22.5-1
ppp 2.4.9-1
pptpclient 1.10.0-2
prison 5.85.0-1
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulseaudio-equalizer 15.0-1
pulseaudio-equalizer-ladspa 3.0.2-4
pulseaudio-qt 1.3-1
purpose 5.85.0-1
putty 0.76-1
pycritty 0.3.5-1
python 3.9.6-1
python-abydos 0.5.0-2
python-aiodns 3.0.0-1
python-aiohttp 3.7.4.post0-1
python-aiomultiprocess 0.9.0-1
python-aiosqlite 0.17.0-1
python-aniso8601 9.0.1-1
python-apipkg 1.5-5
python-appdirs 1.4.4-3
python-argh 0.26.2-8
python-argon2_cffi 20.1.0-3
python-arrow 1.1.1-1
python-astroid 2.7.3-1
python-async-timeout 3.0.1-5
python-async_generator 1.10-5
python-atomicwrites 1.4.0-3
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-backcall 0.2.0-4
python-beaker 1.11.0-6
python-beautifulsoup4 4.9.3-4
python-binaryornot 0.4.4-4
python-black 21.8b0-1
python-bleach 4.1.0-1
python-cachecontrol 0.12.6-3
python-cairo 1.20.1-1
python-cairocffi 1.2.0-3
python-censys 2.0.6-1
python-certifi 2020.12.5-1
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-click 8.0.1-1
python-click-plugins 1.1.1-7
python-cloudpickle 1.6.0-1
python-colorama 0.4.4-3
python-configargparse 1.5-1
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cookiecutter 1.7.3-1
python-cryptography 3.4.8-1
python-cycler 0.10.0-8
python-dateutil 2.8.2-1
python-debugpy 1.4.1-2
python-decorator 5.0.9-1
python-defusedxml 0.7.1-2
python-dicttoxml 1.7.4-6
python-diff-match-patch 20200713-3
python-distlib 0.3.2-1
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-docutils 0.17.1-1
python-entrypoints 0.3-6
python-flasgger 0.9.5-3
python-flask 2.0.1-1
python-flask-restful 0.3.9-1
python-future 0.18.2-5
python-gevent 21.8.0-2
python-gmpy2 2.1.0rc1-1
python-gobject 3.40.1-1
python-greenlet 1.1.1-1
python-grequests 0.6.0-2
python-helpdev 0.7.1-3
python-html5lib 1.1-6
python-httplib2 0.19.1-1
python-i3ipc 2.2.1-2
python-idna 3.2-1
python-imagesize 1.2.0-4
python-importlib-metadata 4.8.1-1
python-inflection 0.5.1-3
python-iniconfig 1.1.1-1
python-intervaltree 3.1.0-3
python-ipykernel 6.0.3-2
python-ipywidgets 7.6.3-2
python-isort 5.9.3-1
python-itsdangerous 2.0.1-1
python-jedi 0.18.0-2
python-jeepney 0.7.1-1
python-jellyfish 0.8.8-1
python-jinja 3.0.1-1
python-jinja-time 0.2.0-5
python-jsonrpc-server 0.4.0-3
python-jsonrpclib-pelix 0.4.2-1
python-jsonschema 3.2.0-4
python-jupyter_client 6.1.12-1
python-jupyter_core 4.7.1-1
python-keyring 23.0.1-1
python-keyutils 0.6-6
python-kiwisolver 1.3.2-1
python-language-server 0.36.2-5
python-lazy-object-proxy 1.6.0-1
python-levenshtein 0.12.2-1
python-lxml 4.6.3-1
python-mako 1.1.5-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-matplotlib 3.4.3-1
python-matplotlib-inline 0.1.2-1
python-mccabe 0.6.1-9
python-mechanize 1:0.4.5-4
python-mistune 0.8.4-6
python-more-itertools 8.8.0-1
python-mpmath 1.2.1-2
python-msgpack 1.0.2-2
python-multidict 5.1.0-1
python-mypy_extensions 0.4.3-3
python-nest_asyncio 1.5.1-1
python-netaddr 0.8.0-3
python-numpy 1.20.3-1
python-numpydoc 1.1.0-3
python-olefile 0.46-4
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pandas 1.3.2-1
python-pandocfilters 1.4.3-3
python-parso 1:0.8.2-1
python-pathspec 0.9.0-1
python-pathtools 0.1.2-9
python-pep517 0.11.0-1
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-6
python-pillow 8.3.1-1
python-pip 20.3.4-1
python-platformdirs 2.0.2-1
python-plotly 5.3.1-1
python-pluggy 0.13.1-4
python-ply 3.11-7
python-poyo 0.5.0-4
python-progress 1.5-5
python-prometheus_client 0.11.0-1
python-prompt_toolkit 3.0.20-1
python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-py 1.10.0-1
python-pyaml 21.8.3-1
python-pycares 4.0.0-1
python-pycodestyle 2.7.0-2
python-pycparser 2.20-3
python-pycups 2.0.1-3
python-pycurl 7.43.0.6-4
python-pydantic 1.8.2-1
python-pydocstyle 6.1.1-1
python-pyflakes 2.3.1-2
python-pygments 2.10.0-1
python-pylint 2.10.2-3
python-pyls-black 0.4.6-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyparted 3.11.7-1
python-pypdf2 1.26.0-6
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.9.0-1
python-pyqt5-webengine 5.15.4-1
python-pyrsistent 0.18.0-1
python-pytest 6.2.5-1
python-pytz 2021.1-1
python-pyxdameraulevenshtein 1.7.0-1
python-pyxdg 0.27-1
python-pyzmq 22.2.1-1
python-qdarkstyle 3.0.2-1
python-qstylizer 0.2.0-1
python-qtawesome 1.0.2-1
python-qtconsole 5.1.1-1
python-qtpy 1.9.0-5
python-redis 3.5.3-3
python-regex 2021.7.6-1
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-rope 0.19.0-1
python-rq 1.9.0-1
python-scipy 1.7.1-1
python-secretstorage 3.3.1-1
python-send2trash 1.8.0-1
python-setproctitle 1.2.2-1
python-setuptools 1:57.4.0-1
python-shodan 1.25.0-1
python-simplejson 3.17.5-1
python-six 1.16.0-1
python-slowaes 0.1a1-8
python-slugify 5.0.2-1
python-snowballstemmer 2.1.0-1
python-sortedcontainers 2.4.0-1
python-soupsieve 2.2.1-2
python-sphinx 4.1.2-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 2.0.0-1
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.5-1
python-sympy 1.8-1
python-terminado 0.11.1-1
python-testpath 0.4.4-3
python-text-unidecode 1.3-6
python-textdistance 4.2.1-1
python-texttable 1.6.4-1
python-three-merge 0.1.1-1
python-tinycss2 1.1.0-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-tornado 6.1.0-3
python-traitlets 5.0.5-1
python-typing_extensions 3.10.0.2-1
python-ujson 4.1.0-1
python-unicodecsv 0.14.1-3
python-urllib3 1.26.6-1
python-uvloop 0.16.0-1
python-watchdog 0.10.6-1
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-werkzeug 2.0.1-1
python-wrapt 1.12.1-4
python-wurlitzer 2.1.1-1
python-xapp 2.2.1-1
python-xcffib 0.11.1-1
python-xlib 0.31-1
python-xlsxwriter 3.0.1-1
python-yaml 5.4.1.1-2
python-yarl 1.6.3-1
python-zipp 3.5.0-1
python-zope-event 4.5.0-3
python-zope-interface 5.4.0-1
python2 2.7.18-3
python2-gobject 3.36.1-3
python2-pyxdg 0.27-1
qca-qt5 2.3.3-1
qhull 2020.2-4
qpdf 10.3.2-1
qqc2-desktop-style 5.85.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r222-2
qt5-declarative 5.15.2+kde+r30-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-script 5.15.5-2
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-3
qt5-virtualkeyboard 5.15.2-1
qt5-wayland 5.15.2+kde+r30-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.5-1
qt5-webkit 5.212.0alpha4-10
qt5-x11extras 5.15.2-1
qt5-xmlpatterns 5.15.2-1
qt5ct 1.3-1
qtile 0.18.0-2
ranger 1.9.3-3
raptor 2.0.15-16
rav1e 0.4.1-1
re2 1:20210901-1
readline 8.1.001-1
recon-ng 1:1021.9e907df-1
reflector 2021.7.8-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rhash 1.4.2-1
ripgrep 13.0.0-2
ristretto 0.11.0-1
rnnoise 0.4.1-1
rofi 1.7.0-1
rofimoji 5.3.0-1
rp-pppoe 3.15-2
rpcbind 1.2.6-1
rsync 3.2.3-4
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9.2-1
run-parts 5.4-1
rxvt-unicode 9.26-2
rxvt-unicode-terminfo 9.26-2
samba 4.14.7-1
sardi-icons 21.09-02
sbc 1.5-2
screen 4.8.0-3
screenfetch 3.9.1-1
scrot 1.6-2
sddm 0.19.0-6
sddm-config-editor-git 0.1.r80.g8fca3ce-1
sddm-kcm 5.22.5-1
sdl 1.2.15-14
sdl2 2.0.16-2
sdparm 1.12-1
sed 4.8-1
serd 0.30.10-1
sg3_utils 1.46-1
shaderc 2021.1-2
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.08.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slang 2.3.2-2
slop 7.5-5
smartmontools 7.2-1
smbclient 4.14.7-1
snapd 2.52-1
snapd-glib 1.59-1
snappy 1.1.9-1
socat 1.7.4.1-1
sof-firmware 1.8-1
solid 5.85.0-1
sonnet 5.85.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
source-highlight 3.1.9-6
spandsp 0.0.6-3
spdlog 1.9.2-1
spectacle 21.08.1-1
spectrwm 3.4.1-1
speedtest-cli-git 2.1.3.r1.g22210ca-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.1-1
splix 2.0.0-15
sqlite 3.36.0-1
squashfs-tools 4.5-1
sratom 0.6.8-1
srt 1.4.3-1
sshfs 3.7.2-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.7.p2-1
surfn-arc-breeze-icons-git 21.09-02
surfn-icons-git 21.09-02
surfn-mint-y-icons-git 21.09-02
sutils-git 35-1
svt-av1 0.8.7-1
svt-hevc 1.5.1-1
swh-plugins 0.4.17-4
sxhkd 0.6.2-1
syndication 5.85.0-1
syntax-highlighting 5.85.0-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.15-1
systemd 249.4-1
systemd-kcm 1.2.1-5
systemd-libs 249.4-1
systemd-sysvcompat 249.4-1
systemsettings 5.22.5-1
taglib 1.12-1
talloc 2.3.3-1
tar 1.34-1
tcl 8.6.11-1
tcpdump 4.99.1-1
tdb 1.4.5-1
terminus-font 4.49.1-2
termite 16.0-1
termite-terminfo 15-7
testdisk 7.1-2
tevent 1:0.11.0-1
texinfo 6.8-2
theharvester 2453.6396b4d-1
thin-provisioning-tools 0.9.0-1
threadweaver 5.85.0-1
thunar 4.16.8-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
tint2 17.0.1-1
tinyxml2 9.0.0-1
tmux 3.2_a-1
tolua++ 1.0.93-4
tpm2-tss 3.1.0-1
tracker3 3.1.2-1
tree 1.8.0-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-font-awesome 5.15.4-1
ttf-hack 3.003-3
ttf-liberation 2.1.4-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-ubuntu-font-family 0.83-7
tumbler 4.16.0-3
twolame 0.4.0-2
tzdata 2021a-2
uchardet 0.0.7-1
udftools 2.3-1
udiskie 2.3.3-1
udisks2 2.9.3-1
unace 2.5-11
unrar 1:6.0.7-1
unzip 6.0-14
upower 0.99.13-1
urxvt-fullscreen 1-1
urxvt-perls 2.3-1
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-1
usbmuxd 1.1.1-1
usbutils 014-1
uthash 2.3.0-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
v4l-utils 1.20.0-1
variety 0.8.5-2
vicious 2.5.0-1
vid.stab 1.1-3
viewnior 1.7-3
vim 8.2.2891-1
vim-runtime 8.2.2891-1
virtualbox 6.1.26-1
virtualbox-host-dkms 6.1.26-1
virtualgl 2.6.5-2
vlc 3.0.16-3
vmaf 1.5.3-1
volume_key 0.3.12-5
volumeicon 0.5.1-5
vpnc 1:0.5.3.r496.r153-2
vte-common 0.64.2-2
vte3 0.64.2-2
vulkan-headers 1:1.2.188-1
vulkan-icd-loader 1.2.188-1
w3m 0.5.3.git20210102_6-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.21-1
webkit2gtk 2.32.3-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wildmidi 0.4.4-1
wireless-regdb 2021.08.28-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.10.0-1
wvdial 1.61-8
wvstreams 4.6.1-17
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xapian-core 1:1.4.18-1
xapp 2.2.3-1
xcape 1.2-4
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xcursor-arch-cursor-complete 06.10.2018-1
xcursor-comix 0.9.2-1
xcursor-flatbed 0.4-3
xcursor-neutral 1.13a-9
xcursor-premium 0.3-10
xcursor-simpleandsoft 0.2-9
xdg-dbus-proxy 0.1.2-3
xdg-desktop-portal 1.8.1-1
xdg-desktop-portal-gtk 1.8.0-1
xdg-desktop-portal-kde 5.22.5-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdo 0.5.7-2
xdotool 3.20210903.1-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.1.0-1
xf86-input-vmmouse 13.1.0-5
xf86-input-void 1.4.1-5
xf86-video-amdgpu 21.0.0-1
xf86-video-ati 1:19.1.0-2
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xf86-video-openchrome 0.6.0-4
xf86-video-vesa 2.5.0-1
xf86-video-vmware 13.3.0-2
xfce4-appfinder 4.16.1-2
xfce4-clipman-plugin 1.6.2-1
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.3-2
xfce4-power-manager 4.16.0-3
xfce4-screenshooter 1.9.9-2
xfce4-settings 4.16.2-1
xfce4-taskmanager 1.4.2-1
xfce4-terminal 0.8.10-2
xfconf 4.16.0-2
xfsprogs 5.13.0-1
xfwm4 4.16.1-2
xkeyboard-config 2.33-1
xl2tpd 1.3.16-1
xmlsec 1.2.32-1
xmobar 0.38-8
xmonad 0.15-134
xmonad-contrib 0.16-114
xmonad-log 0.1.0-3
xmonad-utils 0.1.3.3-139
xorg-bdftopcf 1.1-2
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-2
xorg-server-common 1.20.13-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2021.4-1
xplc 0.3.13-8
xsel 1.2.0.20190821-1
xtitle-git 47-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yad 10.1-1
yajl 2.1.0-4
yakuake 21.08.1-1
yapf 0.31.0-1
yay-bin 10.3.1-2
zafiro-icon-theme 1.1-1
zbar 0.23.1-7
zenity 3.32.0+55+gd7bedff-1
zeromq 4.3.4-1
zimg 3.0.3-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-convolver 4.0.3-2
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zsh 5.8-1
zsh-autosuggestions 0.7.0-1
zsh-completions 0.33.0-1
zsh-syntax-highlighting 0.7.1-1
zsh-theme-powerlevel10k-git r3920.ec44300-1
zstd 1.5.0-1
zvbi 0.2.35-4
zxing-cpp 1.2.0-1
zziplib 0.13.72-1
